Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Engagement
2320127002,4/7/2016,1846,0,0,93,1347,1508,Low
2320127002,4/8/2016,3417,0,0,153,1287,1625,Low
2320127002,4/9/2016,4863,1,11,208,1220,1772,Low
2320127002,4/10/2016,2277,0,0,103,1337,1530,Low
2320127002,4/11/2016,11230,10,2,390,1038,2206,High
2320127002,4/12/2016,2098,0,0,69,617,790,Medium
2347167796,3/29/2016,10272,2,58,208,700,2041,High
2347167796,3/30/2016,10533,21,35,255,615,2187,High
2347167796,3/31/2016,6760,0,0,250,613,1929,High
2347167796,4/1/2016,8328,0,33,212,804,1935,Medium
2347167796,4/2/2016,15459,51,16,327,583,2438,High
2347167796,4/3/2016,7485,0,0,324,491,2035,High
2347167796,4/4/2016,10254,21,25,231,638,2099,High
2347167796,4/5/2016,10114,18,9,269,696,2096,High
2347167796,4/6/2016,11107,14,46,196,759,2058,High
2347167796,4/7/2016,10320,15,32,315,1002,2338,High
2347167796,4/8/2016,10209,2,6,316,711,2104,High
2347167796,4/9/2016,16081,16,32,401,970,2488,High
2347167796,4/10/2016,10078,12,3,303,463,2164,High
2347167796,4/11/2016,10001,5,52,196,788,2009,High
2347167796,4/12/2016,0,0,0,0,425,399,Medium
2873212765,4/1/2016,890,0,0,41,1399,1335,Low
2873212765,4/2/2016,2214,0,0,197,1243,1559,Low
2873212765,4/3/2016,7640,3,15,315,1107,1845,Medium
2873212765,4/4/2016,9713,6,24,355,1055,2046,High
2873212765,4/5/2016,8432,0,0,374,1066,1953,Medium
2873212765,4/6/2016,7350,0,0,382,1058,1910,Medium
2873212765,4/7/2016,9353,5,17,363,1055,2035,High
2873212765,4/8/2016,7157,0,0,380,1060,1944,Medium
2873212765,4/9/2016,14103,46,8,288,1098,2257,High
2873212765,4/10/2016,5290,1,8,251,1180,1724,Medium
2873212765,4/11/2016,7497,0,0,357,882,1741,Medium
2873212765,4/12/2016,0,0,0,0,1440,0,Low
2891001357,3/29/2016,0,0,0,0,1440,1920,Low
2891001357,3/30/2016,0,0,0,0,1440,1920,Low
2891001357,3/31/2016,0,0,0,0,1440,1920,Low
2891001357,4/1/2016,0,0,660,0,780,4562,Medium
2891001357,4/2/2016,4126,0,0,720,720,2881,High
2891001357,4/3/2016,0,0,0,0,1440,1920,Low
2891001357,4/4/2016,0,0,0,0,1440,1920,Low
2891001357,4/5/2016,2063,0,0,630,99,1144,Medium
3372868164,4/1/2016,5785,0,0,311,1129,1852,Medium
3372868164,4/2/2016,7625,24,1,341,1074,2069,Medium
3372868164,4/3/2016,4706,0,0,299,1141,1816,Medium
3372868164,4/4/2016,5861,20,7,233,1180,1878,Medium
3372868164,4/5/2016,4460,0,0,248,1192,1787,Low
3372868164,4/6/2016,6406,17,4,325,1094,2010,Medium
3372868164,4/7/2016,7392,14,9,332,1085,2038,Medium
3372868164,4/8/2016,5551,0,0,282,1158,1815,Medium
3372868164,4/9/2016,8827,21,10,346,1063,2062,High
3372868164,4/10/2016,4662,22,4,152,735,1276,Medium
3977333714,4/1/2016,4499,0,0,168,842,1288,Medium
3977333714,4/2/2016,7618,0,6,302,842,1490,Medium
3977333714,4/3/2016,11508,29,22,282,748,1630,High
3977333714,4/4/2016,11943,16,43,297,710,1648,High
3977333714,4/5/2016,12303,26,32,291,605,1649,High
3977333714,4/6/2016,15425,24,45,331,614,1783,High
3977333714,4/7/2016,8422,0,81,139,815,1431,Medium
3977333714,4/8/2016,10226,0,101,174,685,1524,High
3977333714,4/9/2016,14583,35,36,254,697,1697,High
3977333714,4/10/2016,3573,15,8,99,866,1232,Medium
3977333714,4/11/2016,3108,1,1,129,894,1223,Low
3977333714,4/12/2016,759,0,0,17,187,182,Medium
4020332650,3/12/2016,5543,0,0,254,757,2990,High
4020332650,3/13/2016,3226,0,0,136,771,2480,High
4020332650,3/14/2016,3023,0,0,145,1005,2570,Medium
4020332650,3/15/2016,5906,0,10,215,874,3016,High
4020332650,3/16/2016,12483,25,14,309,599,3830,High
4020332650,3/17/2016,8940,0,0,47,986,3706,High
4020332650,3/18/2016,368,0,0,0,1440,2024,Low
4020332650,3/19/2016,5702,0,0,0,1440,2980,Medium
4020332650,3/20/2016,10330,0,0,0,1440,3728,High
4020332650,3/21/2016,8778,0,0,0,1440,3348,Medium
4020332650,3/22/2016,6662,0,0,0,1440,3162,Medium
4020332650,3/23/2016,6309,0,0,0,1440,3140,Medium
4020332650,3/24/2016,1951,0,0,0,1440,1980,Low
4020332650,3/25/2016,5563,0,0,0,1440,3681,Medium
4020332650,3/26/2016,4370,0,0,0,1440,3444,Medium
